name,positive,negative,note
Chibi,"full body, chibi, highly detailed","photo, black and white, low contrast",chibi_blindbox_v1_mix
illustrious_masterpieces_v3,"masterpiece, best quality, very aesthetic",,
RE3-30,"asian, asian_japanese, asian_chinese, asian_korean, european, european_irish, european_french, european_german, european_italian, african, african_east, african_west, latina, thai, arab, indian, iranian, native_american, polynesian",,
aidmaMJ6.1_v0.5_IL,aidmaMJ6.1,,
princess_rc_il,"Anna, Ariel, Aurora, Belle, Cinderella, Elsa, Asha, Jasmine, Merida, Moana, Mulan, Namaari, Pocahontas, Rapunzel, Raya, Shank, Snow White, Tiana, Vanellope, Alice, Chel,Esmerada, Jane Porter, Kida, Megera,Mirabel Madrigal, Isabela Madrigal, Dolores Madrigal and some secret character!
",,
DoubleExposureIL,"Silhouette, within, blending, blended, merged, filled with / into ",,
Kontext_zoomout-fal-v1,"Zoom out and keep the visible subject exactly the same in position, scale and appearance. Expand the canvas evenly in every direction and fill all new areas with a natural continuation of the scene, matching the original lighting, perspective and photographic style.",,
kontext-turnaround-sheet-v1,"create turnaround sheet of this exact character, 5 full-body poses on pure white background: front view, 3/4 left, left profile, back view, right profile, 3/4 right — evenly spaced in a clean horizontal row, consistent lighting and style, no background noise, no shadows, same proportions and detailing across all views",,
